id,type,title,creator,tags,mood_hint,duration,url,feature_text
m1,meditation,5-Minute Breathing Meditation,Calm,"breathing,focus,stress-relief",anxious,300,https://www.youtube.com/watch?v=inpok4MKVLM,"short breathing meditation for relaxation and focus"
m2,meditation,Body Scan for Sleep,Headspace,"body scan,relax,sleep",stressed,900,https://www.youtube.com/watch?v=ihwcw_ofuME,"body scan meditation for deep sleep and calmness"
m3,meditation,Guided Morning Meditation,Great Meditation,"morning,positive energy,focus",happy,420,https://www.youtube.com/watch?v=jeGT1VXwfx4,"guided meditation for positivity and focus"
m4,meditation,Anxiety Release Meditation,Michael Sealey,"anxiety,stress,calm",anxious,600,https://www.youtube.com/watch?v=O-6f5wQXSu8,"guided meditation to release anxiety and stress"
m5,meditation,Mindful Breathing Practice,Tara Brach,"mindfulness,breath,calm",calm,480,https://www.youtube.com/watch?v=SEfs5TJZ6Nk,"mindful breathing exercise for calm and relaxation"
m6,meditation,Evening Gratitude Meditation,Mindful Movement,"gratitude,evening,relaxation",happy,540,https://www.youtube.com/watch?v=ZToicYcHIOU,"evening gratitude meditation for happiness and peace"
m7,meditation,Stress Relief Meditation,Jason Stephenson,"stress relief,relaxation,soothing",stressed,720,https://www.youtube.com/watch?v=MIr3RsUWrdo,"guided meditation for stress and emotional healing"
m8,meditation,Letting Go Meditation,The Honest Guys,"letting go,calm,peace",calm,780,https://www.youtube.com/watch?v=ihh5l9I0dZ0,"letting go meditation for relaxation and release"
m9,meditation,Focus and Productivity Meditation,Boho Beautiful,"focus,energy,work",happy,600,https://www.youtube.com/watch?v=8Xdwr4cRTVA,"focus and energy meditation for motivation"
m10,meditation,Healing Meditation Music,Yellow Brick Cinema,"healing,relaxing,deep sleep",stressed,1800,https://www.youtube.com/watch?v=2OelXPxY6n4,"instrumental healing music to relax mind and body"
m11,meditation,Quick Stress Relief,Calm Mind Studio,"stress,relaxation,quick",stressed,300,https://www.youtube.com/watch?v=xyz1,"short meditation to quickly relieve stress"
m12,meditation,Mindful Walking Meditation,Nature Sounds,"walking,mindfulness,calm",calm,600,https://www.youtube.com/watch?v=xyz2,"walk mindfully to reduce anxiety"
m13,meditation,Lunchtime Recharge Meditation,Inner Peace Hub,"energy,focus,quick",tired,420,https://www.youtube.com/watch?v=xyz3,"recharge your mind in a short lunch break"
m14,meditation,Motivation Boost Morning,Energy Meditation,"morning,positivity,motivation",motivated,480,https://www.youtube.com/watch?v=xyz4,"boost your motivation for the day"
m15,meditation,Evening Relaxation Flow,Yoga With Adriene,"evening,relaxation,calm",relaxed,900,https://www.youtube.com/watch?v=xyz5,"gentle evening flow to relax body and mind"
m16,meditation,Release Anger Guided Meditation,Michael Sealey,"anger,release,calm",angry,600,https://www.youtube.com/watch?v=xyz6,"guided meditation to release anger and tension"
m17,meditation,Gratitude Reflection,Mindful Living,"gratitude,positive,calm",grateful,540,https://www.youtube.com/watch?v=xyz7,"reflect on things you are grateful for"
m18,meditation,Overwhelm Relief Session,Calm Studio,"overwhelmed,relaxation,breath",overwhelmed,720,https://www.youtube.com/watch?v=xyz8,"meditation for reducing overwhelm and stress"
m19,meditation,Boredom Buster Meditation,Creative Mind,"boredom,focus,fun",bored,480,https://www.youtube.com/watch?v=xyz9,"short meditation to engage mind and reduce boredom"
