id,type,title,creator,tags,mood_hint,word_count,url,feature_text
r1,reading,Gratitude Changes Everything,Medium,"gratitude,positivity,well-being",happy,850,https://medium.com/@wellbeing/gratitude,"importance of gratitude and positive emotions"
r2,reading,How to Calm Your Mind,Healthline,"stress,relaxation,mindfulness",stressed,1000,https://www.healthline.com/health/how-to-calm-your-mind,"practical exercises to calm your thoughts"
r3,reading,Building Resilience in Daily Life,Psychology Today,"resilience,mental health,growth",anxious,900,https://www.psychologytoday.com/resilience,"techniques to build mental resilience and self-trust"
r4,reading,The Science of Sleep,National Geographic,"sleep,body health,rest",stressed,1100,https://www.nationalgeographic.com/sleep,"sleep science and mental health"
r5,reading,Power of Positive Thinking,Verywell Mind,"positivity,mindset,happiness",happy,950,https://www.verywellmind.com/positive-thinking,"exploring positive thinking and motivation"
r6,reading,Steps to Reduce Anxiety,Harvard Health,"anxiety,mental health,wellness",anxious,1200,https://www.health.harvard.edu/anxiety,"evidence-based methods to manage anxiety"
r7,reading,Creating Calm Mornings,BetterUp,"mindfulness,focus,calm",calm,800,https://www.betterup.com/blog/calm-mornings,"morning rituals for calm and focus"
r8,reading,Dealing with Overthinking,Headspace Blog,"overthinking,stress,relaxation",stressed,950,https://www.headspace.com/articles/overthinking,"how to manage overthinking with mindfulness"
r9,reading,The Power of Letting Go,Tiny Buddha,"acceptance,peace,calm",calm,1000,https://tinybuddha.com/blog/letting-go,"embracing peace by letting go"
r10,reading,Choosing Joy in Difficult Times,Medium,"happiness,resilience,positivity",happy,900,https://medium.com/@happylife/joy,"choosing happiness through small actions"
r11,reading,Mindfulness for Daily Life,Healthline,"mindfulness,calm,focus",calm,950,https://www.healthline.com/mindfulness,"daily mindfulness exercises for focus and calm"
r12,reading,Reducing Anxiety Naturally,Psychology Today,"anxiety,relaxation,well-being",anxious,1000,https://www.psychologytoday.com/anxiety,"practical tips for reducing anxiety naturally"
r13,reading,Boost Your Happiness,Medium,"happiness,positivity,wellbeing",happy,850,https://medium.com/happiness,"ways to increase happiness and positivity"
r14,reading,Stress Relief Techniques,Harvard Health,"stress,calm,relaxation",stressed,1050,https://www.health.harvard.edu/stress,"strategies to manage stress effectively"
r15,reading,Motivation and Energy,Verywell Mind,"motivation,energy,focus",motivated,900,https://www.verywellmind.com/motivation,"tips to stay motivated and energized"
r16,reading,Dealing with Tiredness,Self Care Blog,"tiredness,energy,rest",tired,950,https://www.selfcare.com/tired,"ways to manage fatigue and boost energy"
r17,reading,Overcoming Loneliness,Mindful Living,"loneliness,social,wellbeing",lonely,900,https://www.mindfulliving.com/loneliness,"practical tips to cope with loneliness"
r18,reading,Anger Management Guide,Healthline,"anger,management,well-being",angry,1000,https://www.healthline.com/anger,"techniques to manage and release anger"
r19,reading,Relaxation and Peace,Tiny Buddha,"relaxation,peace,calm",relaxed,950,https://tinybuddha.com/relaxation,"methods to relax and find inner peace"
r20,reading,Practicing Gratitude Daily,Medium,"gratitude,happiness,positivity",grateful,900,https://medium.com/gratitude,"daily gratitude practices to improve mood"
r21,reading,Coping with Overwhelm,Psychology Today,"overwhelm,stress,relaxation",overwhelmed,1000,https://www.psychologytoday.com/overwhelm,"strategies to handle feeling overwhelmed"
r22,reading,Fun Activities for Boredom,Creative Mind Blog,"boredom,fun,engagement",bored,850,https://creativemind.com/boredom,"ideas to beat boredom and stay engaged"
