id,type,title,artist,tags,mood_hint,duration,url,feature_text
mu1,music,Weightless,Marconi Union,"ambient,relaxation,calm",stressed,480,https://open.spotify.com/track/1,"scientifically proven relaxing music"
mu2,music,Happy,Pharrell Williams,"pop,energetic,happy",happy,240,https://open.spotify.com/track/2,"uplifting music for happiness and motivation"
mu3,music,Someone Like You,Adele,"sad,slow,emotional",sad,285,https://open.spotify.com/track/3,"soft emotional song for reflection"
mu4,music,Sunflower,Post Malone,"chill,positive,vibes",happy,160,https://open.spotify.com/track/4,"chill pop music for relaxed mood"
mu5,music,Weight of the World,Louis Futon,"instrumental,calm,focus",calm,300,https://open.spotify.com/track/5,"instrumental beats for focus"
mu6,music,Ocean Eyes,Billie Eilish,"soft,vocal,chill",calm,200,https://open.spotify.com/track/6,"dreamy calm pop for relaxation"
mu7,music,Fix You,Coldplay,"emotional,healing,inspiration",stressed,270,https://open.spotify.com/track/7,"healing song for emotional comfort"
mu8,music,Don’t Worry Be Happy,Bobby McFerrin,"happy,uplifting,classics",happy,260,https://open.spotify.com/track/8,"feel-good song for instant positivity"
mu9,music,Deep Focus,LoFi Beats,"lofi,study,calm",calm,600,https://open.spotify.com/track/9,"lofi beats for mindfulness and focus"
mu10,music,Let It Be,The Beatles,"classic,peace,relax",calm,250,https://open.spotify.com/track/10,"peaceful classic song for emotional balance"
mu11,music,Blinding Lights,The Weeknd,"pop,energetic,happy",happy,200,https://open.spotify.com/track/11,"upbeat song to boost energy and positivity"
mu12,music,Clair de Lune,Debussy,"classical,calm,relaxation",calm,300,https://open.spotify.com/track/12,"calm classical piece for relaxation"
mu13,music,Eye of the Tiger,Survivor,"motivational,energetic,workout",motivated,245,https://open.spotify.com/track/13,"classic motivational track for focus and energy"
mu14,music,Someone You Loved,Lewis Capaldi,"sad,emotional,piano",sad,182,https://open.spotify.com/track/14,"emotional ballad for reflection and processing sadness"
mu15,music,Shake It Off,Taylor Swift,"pop,energetic,happy",happy,242,https://open.spotify.com/track/15,"fun upbeat song to lift mood instantly"
mu16,music,Adiemus,Adiemus Project,"ambient,calm,mindful",calm,360,https://open.spotify.com/track/16,"peaceful ambient music for focus and relaxation"
mu17,music,Chillhop Essentials,LoFi Beats,"lofi,relax,study",relaxed,600,https://open.spotify.com/track/17,"smooth lo-fi beats for chilling and relaxing"
mu18,music,Angry Heart,Seether,"rock,emotional,anger",angry,270,https://open.spotify.com/track/18,"high-energy rock song to channel anger"
mu19,music,Counting Stars,OneRepublic,"pop,motivational,energy",motivated,245,https://open.spotify.com/track/19,"uplifting pop song for motivation and energy"
mu20,music,Solitude,Lane 8,"chill,electronic,alone",lonely,480,https://open.spotify.com/track/20,"calm electronic track for introspection"
mu21,music,Overwhelmed,Royal & The Serpent,"pop,emo,stress",overwhelmed,220,https://open.spotify.com/track/21,"song capturing feeling of being overwhelmed"
mu22,music,Boredom Busters,Chillhop Music,"lofi,chill,fun",bored,300,https://open.spotify.com/track/22,"lofi beats to entertain and focus during boredom"
mu23,music,Thank You,Alanis Morissette,"grateful,acoustic,happy",grateful,255,https://open.spotify.com/track/23,"song to inspire gratitude and positivity"
mu24,music,Good Morning,Max Frost,"energetic,pop,motivational",motivated,180,https://open.spotify.com/track/24,"short morning booster for energy and motivation"
mu25,music,Healing,Jon Hopkins,"ambient,calm,relaxation",stressed,360,https://open.spotify.com/track/25,"soothing ambient track to relieve stress"
